GSTP1
HBB
CST3
A2M
CALR
PLD3
C3
APEX1
PRDX2
COL3A1
DHCR24
TFRC
SST
TARDBP
IFNGR2
LRP1
TMED10
CAV1
CRYAB
RPL11
ALDH2
SERPINE1
VDAC1
COX5A
NCSTN
PRNP
ITGB1
RUVBL1
MAPK1
PLAT
CLU
CD44
TUBB6
SLC37A4
AKT1
KLF6
MTOR
B4GALT1
GLUD1
ECE1
DNAJB6
BACE2
GRN
TGFB1
BACE1
ALDH18A1
POMC
COMT
TUBA4A
RAF1
SERPINA3
AKR1A1
S100A9
FGFR1
ADAM12
TSPO
HM13
CTSB
NPC2
SOD1
HMOX1
CSF1R
COG4
PLAU
ABL1
DPM2
CAMK2G
COL5A1
MAPK14
SQSTM1
MAP2K1
DSTN
HSD17B10
NFKB1
NQO1
SMPD1
MLH1
CASP3
TBK1
KRAS
APOC1
CDC25B
IRS2
IL4R
CD59
RELA
RBP4
DKK1
APH1A
NOTCH1
SMAD3
CDKN2A
JUN
SLC1A2
ATXN2
PKD2
PSEN1
IGF1R
MAPT
HIF1A
ADA
TNFRSF1B
PDHX
SEC63
PSMC4
LPL
CAPN2
PAICS
LRP6
LMNA
MSH2
ALOX5AP
AK6
MAOB
BIN1
MMP9
TF
THBD
MAOA
PICALM
POMT1
IL1B
MME
LDLR
APH1B
TCN2
COL6A2
DPAGT1
FBN1
CRAT
S100B
CXADR
GNA11
PPARG
STAT3
PPIF
INSR
TOP2A
CCL3
CHST3
CCND1
IREB2
BCL2
SERPINA1
TNF
FANCC
GCH1
ESR1
CYCS
OLR1
CTNNB1
MAN2C1
DPM3
MT3
KAT5
SP1
REN
F2
LTF
IAPP
MAPK8IP1
FIS1
RPS6KB1
GSN
CTSG
NGFR
PLTP
PSEN2
HSF1
SNCB
TREM2
CREBBP
SOAT1
PTGS2
SLC35C1
FGF1
NOS2
PPARA
DNMBP
APOB
CCK
TGFBR2
CHMP2B
TFCP2
LSM12
DOLK
SOD2
SYP
FGF2
EP300
IL1A
SPAST
AOC3
VEGFA
GSTO1
NOS3
MAP3K5
NR4A2
GAL
NEFL
CAMK2A
CALB1
FAS
AGER
SIRT1
HNRNPL
CASR
PARP1
SLC1A3
ALOX5
ALG9
SLC4A1
LIF
DUT
STAT1
CDC25A
LEPR
CP
GFAP
PINK1
IL18
EGF
LRP5
MTHFR
NRG1
CETP
SLC6A3
HMGCR
MPO
OGG1
MTMR14
SPINK5
HDAC9
CYP46A1
SCARB1
ATP6V0A2
IL1R2
BGLAP
ADRB2
VDR
PM20D1
MBP
MYF6
IFNGR1
CSF3
HMOX2
STXBP1
DBN1
IGF1
NGF
MAPK10
MYOD1
RYR1
PRND
DRD2
CCDC78
IL6ST
ADH1C
CCR5
IFNG
EIF2AK2
ADAM17
VIM
SNCA
APC
CNR1
CCL11
POMGNT2
GATA1
CD40
HMGA2
PSMD8
CAT
ALG8
CRH
CCL5
CREB1
BRAF
FASLG
CHRNB2
CCDC107
PKHD1
DNAH8
ALB
HSP90AA1
ICAM1
VCP
CA2
ACHE
CR1
DOCK8
SNAP25
BDNF
IL2
UBQLN1
SLC6A4
KCNJ11
IL10
ADIPOQ
CFH
FOS
DKK3
CRP
SRR
APBB2
ZNF276
SORCS1
CUBN
LEP
LRRK2
UNC5C
TBP
BRCA1
DNM2
CHAT
ARCN1
ADAM10
TRNT1
TLR2
CHKA
MAPK8
CSNK1A1
HFE
IL6R
PON1
HTR2A
PCSK2
CHRNA4
GRIN2B
CHRM2
OXT
HTR6
GLT8D1
OR10AD1
ACE
IL12B
POFUT1
APP
PLAUR
TP53
CSN1S1
GLP1R
IL31
CACNA1G
