Precentral_L_-_中央前回左半脑
Precentral_R_-_中央前回右半脑
Frontal_Sup_2_L_-_背外侧额上回左半脑
Frontal_Sup_2_R_-_背外侧额上回右半脑
Frontal_Mid_2_L_-_额中回左半脑
Frontal_Mid_2_R_-_额中回右半脑
Frontal_Inf_Oper_L_-_岛盖部额下回左半脑
Frontal_Inf_Oper_R_-_岛盖部额下回右半脑
Frontal_Inf_Tri_L_-_三角部额下回左半脑
Frontal_Inf_Tri_R_-_三角部额下回右半脑
Frontal_Inf_Orb_2_L_-_眶部额下回左半脑
Frontal_Inf_Orb_2_R_-_眶部额下回右半脑
Rolandic_Oper_L_-_中央沟盖左半脑
Rolandic_Oper_R_-_中央沟盖右半脑
Supp_Motor_Area_L_-_补充运动区左半脑
Supp_Motor_Area_R_-_补充运动区右半脑
Olfactory_L_-_嗅皮质左半脑
Olfactory_R_-_嗅皮质右半脑
Frontal_Sup_Medial_L_-_内侧额上回左半脑
Frontal_Sup_Medial_R_-_内侧额上回右半脑
Frontal_Med_Orb_L_-_眶内额上回左半脑
Frontal_Med_Orb_R_-_眶内额上回右半脑
Rectus_L_-_回直肌左半脑
Rectus_R_-_回直肌右半脑
OFCmed_L_-_脑岛左半脑
OFCmed_R_-_脑岛右半脑
OFCant_L_-_前扣带和旁扣带脑回左半脑
OFCant_R_-_前扣带和旁扣带脑回右半脑
OFCpost_L_-_内侧和旁扣带脑回左半脑
OFCpost_R_-_内侧和旁扣带脑回右半脑
OFClat_L_-_后扣带回左半脑
OFClat_R_-_后扣带回右半脑
Insula_L_-_脑岛左半脑
Insula_R_-_脑岛右半脑
Cingulate_Mid_L_-_内侧和旁扣带脑回左半脑
Cingulate_Mid_R_-_内侧和旁扣带脑回右半脑
Cingulate_Post_L_-_后扣带回左半脑
Cingulate_Post_R_-_后扣带回右半脑
Hippocampus_L_-_海马左半脑
Hippocampus_R_-_海马右半脑
ParaHippocampal_L_-_海马旁回左半脑
ParaHippocampal_R_-_海马旁回右半脑
Amygdala_L_-_杏仁核左半脑
Amygdala_R_-_杏仁核右半脑
Calcarine_L_-_距状裂周围皮层左半脑
Calcarine_R_-_距状裂周围皮层右半脑
Cuneus_L_-_楔叶左半脑
Cuneus_R_-_楔叶右半脑
Lingual_L_-_舌回左半脑
Lingual_R_-_舌回右半脑
Occipital_Sup_L_-_枕上回左半脑
Occipital_Sup_R_-_枕上回右半脑
Occipital_Mid_L_-_枕中回左半脑
Occipital_Mid_R_-_枕中回右半脑
Occipital_Inf_L_-_枕下回左半脑
Occipital_Inf_R_-_枕下回右半脑
Fusiform_L_-_梭状回左半脑
Fusiform_R_-_梭状回右半脑
Postcentral_L_-_中央后回左半脑
Postcentral_R_-_中央后回右半脑
Parietal_Sup_L_-_顶上回左半脑
Parietal_Sup_R_-_顶上回右半脑
Parietal_Inf_L_-_顶下缘角回左半脑
Parietal_Inf_R_-_顶下缘角回右半脑
SupraMarginal_L_-_缘上回左半脑
SupraMarginal_R_-_缘上回右半脑
Angular_L_-_角回左半脑
Angular_R_-_角回右半脑
Precuneus_L_-_前楔叶左半脑
Precuneus_R_-_前楔叶右半脑
Paracentral_Lobule_L_-_中央旁小叶左半脑
Paracentral_Lobule_R_-_中央旁小叶右半脑
Caudate_L_-_尾状核左半脑
Caudate_R_-_尾状核右半脑
Putamen_L_-_豆状壳核左半脑
Putamen_R_-_豆状壳核右半脑
Pallidum_L_-_豆状苍白球左半脑
Pallidum_R_-_豆状苍白球右半脑
Heschl_L_-_颞横回左半脑
Heschl_R_-_颞横回右半脑
Temporal_Sup_L_-_颞上回左半脑
Temporal_Sup_R_-_颞上回右半脑
